Study ID,Reference,Dist date,Dist name,Site group,Site name,Location,Longitude,Latitude,Holdridge,Broad Life Zone,soil P,rock_P_class,Distance_km,Storm_frequency,rainfall_mm,wind_kts,TL_pre_1,TL_post_1,Site group,TL_change_1,G_TL_1,LL_pre_1,LL_post_1,LL_change_1,G_LL_1,TL_pre_2,TL_post_2,TL_change_2,G_TL_2,LL_pre_2,LL_post_2,LL_change_2,G_LL_2,NDVI1_Extraction start date,NDVI1_old_Extraction end date,NDVI1_pre,NDVI_post,NDVI1,NDVI1_percent_increase,G_NDVI1_pre,G_NDVI_post,G_NDVI1,NDVI2_Extraction start date,NDVI2_Extraction end date,NDVI2_pre,NDVI_post,NDVI2,NDVI2_percent_increase,old_NDVI2,G_NDVI2_pre,G_NDVI2,Diff_btwn_2NDVI_metrics (NDVI1-NDVI2),,,
4 (should this be 9),Lodge et al,9/18/89,Hugo,1,El Verde,Puerto Rico,-65.8199501,18.321122,Subtropical Wet,Wet,340,High,15,0.32,175,110,2.31,1006,1,434.4978355,557.9253884,1.34,615,457.9552239,492.6567165,4.58,1006,218.650655,218.650655,1.7,615,360.7647059,360.7647059,9/18/88,9/25/89,1846,1208,-0.345612134,-34.56121343,1702,1087,-0.3613396,9/18/85,10/2/89,1946,1208,-0.37924,-37.92395,-0.3791,2049,-0.469497316,0.03363,,,"* Note repeats include: 39(2), 38(2), 55(2), 30(2), 9 & 18"
6,Ostertag et al,9/21/98,Georges,2,Cubuy,Puerto Rico,-65.8536639,18.2819211,Subtropical Moist,Moist,255,High,38,0.32,187.5,100,3.22,868,2,268.5652174,262.5940033,NA,NA,NA,NA,2.5,868,346.2,346.2,NA,NA,NA,NA,9/21/97,9/28/98,2252,1641,-0.271314387,-27.13143872,2210,1678,-0.240723982,9/21/97,10/5/98,2222,1641,-0.26148,-26.14761,-0.26154,2200,-0.237272727,-0.00984,,,* NDVI post for 1 and 2 are the same
6,Ostertag et al,9/21/98,Georges,2,Bisley,Puerto Rico,-65.744506,18.315856,Subtropical Wet,Wet,320,High,38,0.32,187.5,100,2.38,477,2,199.4201681,262.5940033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/21/97,9/28/98,2529,1842,-0.271490708,-27.14907078,2210,1678,-0.240723982,9/21/97,10/5/98,2775,1842,-0.33607,-33.60721,-0.33609,2200,-0.237272727,0.06458,,,
6,Ostertag et al,9/21/98,Georges,2,East Peak,Puerto Rico,-65.7459155,18.2662092,Subtropical Lowermontane Wet,Wet,140,High,38,0.32,187.5,100,1.41,290,2,204.6737589,262.5940033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/21/97,9/28/98,2467,1700,-0.310903932,-31.09039319,2210,1678,-0.240723982,9/21/97,10/5/98,2490,1700,-0.31739,-31.73936,-0.31752,2200,-0.237272727,0.00649,,,
6,Ostertag et al,9/21/98,Georges,2,East Peak,Puerto Rico,-65.8487139,18.2750278,Subtropical Lowermontane Wet,Wet,317.3,High,38,0.32,187.5,100,2.36,710,2,299.8474576,262.5940033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/21/97,9/28/98,2060,1610,-0.218446602,-21.84466019,2210,1678,-0.240723982,9/21/97,10/5/98,1978,1610,-0.18605,-18.60465,-0.18611,2200,-0.237272727,-0.0324,,,
6,Ostertag et al,9/21/98,Georges,2,East Peak,Puerto Rico,-65.75,18.266667,Subtropical Lowermontane Rain,Wet,260,High,38,0.32,187.5,100,0.82,280,2,340.4634146,262.5940033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/21/97,9/28/98,2467,1700,-0.310903932,-31.09039319,2210,1678,-0.240723982,9/21/97,10/5/98,2490,1700,-0.31739,-31.73936,-0.31752,2200,-0.237272727,0.00649,,,
9,Lodge et al,9/18/89,Hugo,1,East Peak,Puerto Rico,-65.75,18.266667,Subtropical Lowermontane Rain,Wet,260,High,15,0.32,300,110,0.85,580,1,681.3529412,557.9253884,0.67,354,527.358209,492.6567165,NA,NA,NA,NA,NA,NA,NA,NA,9/18/88,9/25/89,2033,1264,-0.378258731,-37.82587309,1702,1087,-0.3613396,9/18/85,10/2/89,2320,1264,-0.45517,-45.51724,-0.45523,2049,-0.469497316,0.07691,,,
25 (not in large dataset),NA,9/18/89,Hugo,1,NA,Puerto Rico,-65.744506,18.315856,Subtropical Wet,Wet,,NA,,,,,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/88,9/25/89,1809,982,-0.457158651,-45.71586512,1702,1087,-0.3613396,9/18/85,10/2/89,1865,982,-0.47346,-47.34584,-0.47374,2049,-0.469497316,0.0163,,,
31,Lugo et al,9/21/98,Georges,NA,Utuado,Puerto Rico,-66.7032959,18.268457,Subtropical Moist,Moist,330,High,30,0.22,187.5,92.5,3.64,727.9,NA,198.9725275,198.9725275,2.03,160.05,77.84236453,77.84236453,NA,NA,NA,NA,NA,NA,NA,NA,9/21/97,9/28/98,2127,1274,-0.401034321,-40.10343206,NA,NA,-0.401034321,9/21/97,10/5/98,2092,1274,-0.39101,-39.10134,-0.391,NA,-0.39101,-0.01002,,,
35,Van Bloem et al,9/21/98,Georges,NA,Guanica,Puerto Rico,-66.8744444,17.9715278,Subtropical Dry,Dry,500,Intermediate,20,0.22,187.5,97,1.31,748.2,NA,570.1450382,570.1450382,1.19,238.7,199.5882353,199.5882353,NA,NA,NA,NA,0.7,238.7,340,340,9/21/97,9/28/98,2555,2488,-0.026223092,-2.622309198,NA,NA,-0.026223092,9/21/97,10/5/98,2190,2488,0.13607,13.60731,0.13623,NA,0.13607,-0.1623,,,
36 (not in large dataset),NA,9/14/88,Gilbert,NA,NA,,-86.918582,20.809657,Tropical Dry,Dry,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/14/87,9/21/88,890,765,-0.140449438,-14.04494382,NA,NA,-0.140449438,NA,NA,NA,NA,,,NA,NA,,NA,,,
42,Liu et al,9/6/17,Irma,NA,Guanica,,-66.8744444,17.9715278,Subtropical Dry,Dry,500,Intermediate,177,0.22,350,147,1.29,19.75,NA,14.31007752,14.31007752,1.04,13.73,12.20192308,12.20192308,1.15,19.75,16.17391304,16.17391304,0.88,13.73,14.60227273,14.60227273,9/6/16,9/13/17,2438,2085,-0.144790812,-14.47908121,NA,NA,-0.144790812,9/6/16,9/20/17,2186,2085,-0.0462,-4.62031,-0.04607,NA,-0.0462,-0.09859,,,
42,Liu et al,9/6/17,Irma,NA,Rio Abajo,,-66.710583,18.329186,Subtropical Moist,Moist,820,Intermediate,130,0.22,550,147,7.05,71.35,NA,9.120567376,9.120567376,3.5,32.3,8.228571429,8.228571429,13,71.35,4.488461538,4.488461538,3.29,32.3,8.817629179,8.817629179,9/6/16,9/13/17,1766,1081,-0.38788222,-38.78822197,NA,NA,-0.38788222,9/6/16,9/20/17,1866,1081,-0.42069,-42.0686,-0.42056,NA,-0.42069,0.0328,,,
42,Liu et al,9/6/17,Irma,NA,Guayama,,-66.156904,18.0586745,Subtropical Moist,Moist,340,Low,145,0.22,250,150,4.09,133.23,NA,9.120567376,9.120567376,2.619,47.95,17.3085147,17.3085147,4.12,133.23,31.33737864,31.33737864,3.3,47.95,13.53030303,13.53030303,9/6/16,9/13/17,2487,1836,-0.261761158,-26.1761158,NA,NA,-0.261761158,9/6/16,9/20/17,3019,1836,-0.39185,-39.18516,-0.39184,NA,-0.39185,0.13009,,,
42,Liu et al,9/6/17,Irma,NA,Bisley,,-65.744506,18.315856,Subtropical Wet,Wet,320,High,28,0.32,300,135,4.46,39.24,NA,7.798206278,7.798206278,4.27,35.1,7.220140515,7.220140515,2.96,39.24,12.25675676,12.25675676,2.45,35.1,13.32653061,13.32653061,9/6/16,9/13/17,2124,1784,-0.16007533,-16.00753296,NA,NA,-0.16007533,9/6/16,9/20/17,2336,1784,-0.2363,-23.63014,-0.23628,NA,-0.2363,0.07623,,,
49 (not on large dataset),NA,7/9/96,Bertha,NA,NA,,-65.744506,18.315856,Subtropical Wet,Wet,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/9/95,7/16/96,2476,2607,0.052907916,5.290791599,NA,NA,0.052907916,NA,NA,NA,NA,,,NA,NA,,NA,,,
50,Imbert & Portecop,9/17/89,Hugo,NA,Grande-Terre,,-61.45,16.45,Tropical Dry,Dry,670,Intermediate,20,0.43,225,120,2.2,843,NA,382.1818182,382.1818182,1.63,540,330.2883436,330.2883436,NA,NA,NA,NA,0.99,540,544.4545455,544.4545455,9/17/88,9/24/89,2653,1286,-0.515265737,-51.52657369,NA,NA,-0.515265737,9/17/88,10/1/89,2689,1286,-0.52176,-52.17553,-0.52156,NA,-0.52176,0.00649,,,
20,Herbert et al,9/11/92,Iniki,3,Kokee,Hawaii,-159.6333333,22.1333333,Subtropical Lowermontane Wet,Wet,220,High,3,0.14,10,107,1.16,18.87,3,15.26724138,30.35328446,0.81,6.61,7.160493827,9.773544633,NA,NA,NA,NA,NA,NA,NA,NA,9/11/91,9/18/92,1575,1189,-0.245079365,-24.50793651,1654,1498,-0.094316808,9/11/84,9/25/92,1507,1189,-0.21102,-21.10153,-0.21082,1579,-0.05129829,-0.03406,,,
37,Harrington et al,9/11/92,Iniki,3,Makaha 1,Hawaii,-159.7174422,22.1278173,Subtropical Premontane Dry,Dry,110,High,10,0.14,10,107,3.34,40.67,3,11.17664671,30.35328446,2.34,8.67,2.705128205,9.773544633,NA,NA,NA,NA,NA,NA,NA,NA,9/11/91,9/18/92,1987,2336,0.175641671,17.56416709,1654,1498,-0.094316808,9/11/84,9/25/92,2043,2336,0.14342,14.34165,0.14318,1579,-0.05129829,0.03223,,,* Not much data for NDVI2 at this area
37,Harrington et al,9/11/92,Iniki,3,Milolii,Hawaii,-159.7015457,22.1389971,Subtropical Lowermontane Moist,Moist,110,High,8,0.14,10,107,2.53,39,3,14.41501976,30.35328446,1.77,9,4.084745763,9.773544633,NA,NA,NA,NA,NA,NA,NA,NA,9/11/91,9/18/92,1987,2336,0.175641671,17.56416709,1654,1498,-0.094316808,9/11/84,9/25/92,2043,2336,0.14342,14.34165,0.14318,1579,-0.05129829,0.03223,,,* Not much data for NDVI2 at this area
37,Harrington et al,9/11/92,Iniki,3,Kumuwela,Hawaii,-159.6395525,22.1657673,Subtropical Lowermontane Wet,Wet,20,High,3,0.14,10,107,1.73,124,3,70.67630058,30.35328446,1.21,24,18.83471074,9.773544633,NA,NA,NA,NA,NA,NA,NA,NA,9/11/91,9/18/92,1842,1757,-0.046145494,-4.614549403,1654,1498,-0.094316808,9/11/84,9/25/92,1795,1757,-0.02117,-2.11699,-0.02109,1579,-0.05129829,-0.02498,,,
37,Harrington et al,9/11/92,Iniki,3,Halemanu,Hawaii,-159.6713784,22.1462496,Subtropical Lowermontane Wet,Wet,52,Low,4,0.14,10,107,1.73,71.33,3,40.23121387,30.35328446,1.21,20.67,16.08264463,9.773544633,NA,NA,NA,NA,NA,NA,NA,NA,9/11/91,9/18/92,1718,1324,-0.229336438,-22.93364377,1654,1498,-0.094316808,9/11/84,9/25/92,1648,1324,-0.1966,-19.66019,-0.19625,1579,-0.05129829,-0.03273,,,
43,Martinez-Yrizar et al,10/12/11,Jova,NA,Chamela-Cuixmala,,-104.9950178,19.4876991,Tropical Dry,Dry,291,Low,10,0.42,187.9,85,1.16,8.27,NA,6.129310345,6.129310345,1.09,4.22,2.871559633,2.871559633,1.26,8.27,5.563492063,5.563492063,1.05,4.22,3.019047619,3.019047619,10/12/10,10/19/11,3940,2671,-0.322081218,-32.20812183,NA,NA,-0.322081218,10/12/04,10/26/11,4491,2671,-0.40525,-40.5255,-0.40514,NA,-0.40525,0.08317,,,
43,Martinez-Yrizar et al,10/23/15,Patricia,NA,Chamela-Cuixmala,,-104.9950178,19.4876991,Tropical Dry,Dry,291,Low,10,0.42,142.6,120,1.16,14.01,NA,11.07758621,11.07758621,0.9,7.86,7.733333333,7.733333333,1.75,14.01,7.005714286,7.005714286,1.05,7.86,6.485714286,6.485714286,10/23/14,10/30/15,4065,3254,-0.199507995,-19.95079951,NA,NA,-0.199507995,10/23/14,11/6/15,4348,3254,-0.25161,-25.16099,-0.25164,NA,-0.25161,0.0521,,,
53,Wang et al,7/17/08,Kalmaegi,NA,Lienhuachi,,120.9,23.9,Subtropical Wet,Wet,460.9,Intermediate,66,0.94,580,50,5.06,10.89,NA,1.152173913,1.152173913,2.43,3.29,0.353909465,0.353909465,NA,NA,NA,NA,NA,NA,NA,NA,7/17/07,7/24/08,1745,1288,-0.261891117,-26.18911175,NA,NA,-0.261891117,7/17/07,7/31/08,1423,1288,-0.09487,-9.487,-0.09483,NA,-0.09487,-0.16702,,,
55,Liao et al,7/1/04,Mindulle,NA,Kengting III,,120.78846,22.155172,Tropical Moist,Moist,87.9,Intermediate,88,0.8,200,60,1.57,3.78,NA,1.407643312,1.407643312,NA,NA,NA,NA,1.43,3.78,1.643356643,1.643356643,NA,NA,NA,NA,7/1/03,7/8/04,2165,1480,-0.316397229,-31.63972286,NA,NA,-0.316397229,7/1/03,7/15/04,4470,1480,-0.6689,-66.89038,-0.66892,NA,-0.6689,0.35251,,,
38,Gleason et al,3/20/06,Larry,NA,Wooroonooran Basalt,Australia,145.7913456,-17.3530442,Tropical Moist,Moist,1520,High,25,0.32,220,100,1.73,284,NA,163.1618497,163.1618497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/20/05,3/27/06,2696,820,-0.695845697,-69.58456973,NA,NA,-0.695845697,3/20/98,4/3/06,2486,820,-0.67015,-67.01529,-0.67003,NA,-0.67015,-0.02569,,,
39,Herbohn & Congdon,2/29/88,Charlie,4,Mt Spec,Australia,146.1718421,-18.9967435,Tropical Moist,Moist,130,Low,135,0.31,100,60,1.57,10.12,4,5.445859873,2.987014444,1.05,2.22,1.114285714,0.503088803,1.56,10.12,5.487179487,5.487179487,1.02,2.22,1.176470588,1.176470588,2/28/87,3/7/88,2849,2048,-0.281151281,-28.11512812,"2,892",1855,-0.35857538,2/28/81,3/14/88,2517,2048,-0.18633,-18.63329,-0.18662,2537,-0.268821443,-0.09482,,,* Used March as comparison dates
40,Benson & Pearson,2/29/88,Charlie,4,Birthday Creek,Australia,146.1666667,-19,Tropical Moist,Moist,210,Low,133,0.29,100,60,1.42,2.17,4,0.528169014,2.987014444,1.11,0.99,-0.108108108,0.503088803,NA,NA,NA,NA,NA,NA,NA,NA,2/28/87,3/7/88,3137,1850,-0.410264584,-41.0264584,2892,1855,-0.35857538,2/28/81,3/14/88,2673,1850,-0.30789,-30.78938,-0.3079,2537,-0.268821443,-0.10237,,,* Used March as comparison dates